storage technology,tmax (°c),hrmin (%),variety,storage time (days),grain impurities (%),initial total damage (%),final total damage  (%)
polypropylene bag with micronized lime,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,16.499999999999996
polypropylene bag with micronized lime,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,26.267465069860293
grainpro hermetic supergrainbag farm,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,9.730000000000006
grainpro hermetic supergrainbag farm,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,10.049999999999994
grainpro hermetic supergrainbag farm,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,8.950000000000003
hermetic metal silo,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,15.32338308457712
hermetic metal silo,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,11.376237623762373
hermetic metal silo,28.484435483870968,61.12110215053763,Hybrid,210,0.07998667998667999,4.084948384948399,15.309999999999999
hermetic metal silo,28.174677419354836,45.95483870967742,Hybrid,30,0.13,2.0499999999999927,2.279999999999999
hermetic metal silo,28.174677419354836,45.95483870967742,Hybrid,30,0.13,2.0499999999999927,2.099999999999998
polypropylene bag with standard lime,28.174677419354836,45.95483870967742,Hybrid,30,0.13,2.0499999999999927,2.9799999999999893
polypropylene bag with standard lime,28.174677419354836,45.95483870967742,Hybrid,30,0.13,2.0499999999999927,2.1600000000000064
hermetic metal silo,26.8458064516129,60.27123655913978,Hybrid,88,0.13,2.0499999999999927,2.3600000000000074
polypropylene bag with standard lime,26.8458064516129,60.27123655913978,Hybrid,88,0.13,2.0499999999999927,2.2500000000000044
polypropylene bag with aluminum phosphide,26.8458064516129,60.27123655913978,Hybrid,88,0.13,2.0499999999999927,2.1999999999999966
polypropylene bag with aluminum phosphide,26.8458064516129,60.27123655913978,Hybrid,88,0.13,2.0499999999999927,2.840000000000001
polypropylene bag with standard lime,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,2.660000000000011
polypropylene bag with standard lime,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,2.3541147132169673
polypropylene bag with standard lime,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,3.4561981819998104
grainpro hermetic supergrainbag farm,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,2.179999999999998
grainpro hermetic supergrainbag farm,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,2.2200000000000055
polypropylene bag with aluminum phosphide,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,16.348746629381797
polypropylene bag with aluminum phosphide,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,21.57999999999999
polypropylene bag with aluminum phosphide,26.60772657450077,63.748233486943164,Hybrid,180,0.13,2.0499999999999927,15.299999999999992
polypropylene bag with aluminum phosphide,20.45876344086021,67.88817204301075,Hybrid,30,0.7653333333333334,11.007999999999992,12.484993997599041
grainpro hermetic supergrainbag farm,20.45876344086021,67.88817204301075,Hybrid,30,0.7653333333333334,11.007999999999992,11.54653603918825
hermetic metal silo,20.45876344086021,67.88817204301075,Hybrid,30,0.7653333333333334,11.007999999999992,13.909587680079472
polypropylene bag,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,12.612253043304728
polypropylene bag,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,14.288565156655363
polypropylene bag,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,18.39762611275964
polypropylene bag with aluminum phosphide,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,13.512437810945274
polypropylene bag with aluminum phosphide,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,15.406106565555787
polypropylene bag with aluminum phosphide,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,13.84462151394422
grainpro hermetic supergrainbag farm,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,12.927072927072926
grainpro hermetic supergrainbag farm,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,11.277445109780441
hermetic metal silo,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,14.168665067945632
hermetic metal silo,21.2683955453149,49.523317972350235,Hybrid,270,0.7653333333333334,11.007999999999992,11.608391608391624
polypropylene bag,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,28.005997001499253
polypropylene bag,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,17.284814555633304
polypropylene bag,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,25.44982007197121
polypropylene bag with micronized lime,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,8.657402779166238
polypropylene bag with micronized lime,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,7.798440311937626
polypropylene bag with micronized lime,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,5.425659472422064
grainpro hermetic supergrainbag premium rz with zip,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,5.2663135804936605
grainpro hermetic supergrainbag premium rz with zip,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,5.117441279360326
hermetic metal silo,34.39971486175115,40.94254032258064,Hybrid,203,1.1302384160920438,4.556170714168656,5.316809914051563
polypropylene bag,22.459692780337942,45.53640552995392,Hybrid,186,0.21333333333333335,6.24,9.079999999999997
polypropylene bag,22.459692780337942,45.53640552995392,Hybrid,186,0.21333333333333335,6.24,6.835898460923456
polypropylene bag,22.459692780337942,45.53640552995392,Hybrid,186,0.21333333333333335,6.24,10.655737704918035
polypropylene bag,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,76.41415150909454
polypropylene bag,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,63.41463414634146
polypropylene bag,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,34.6130773845231
hermetic metal silo,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,10.733559864081549
hermetic metal silo,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,7.4510587295245765
hermetic metal silo,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,8.198360327934422
grainpro hermetic supergrainbag premium rz with zip,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,28.514297140571884
grainpro hermetic supergrainbag premium rz with zip,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,13.914434226309485
grainpro hermetic supergrainbag premium rz with zip,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,14.57417033186725
plastic bottle,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,10.175929628148738
plastic bottle,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,8.799999999999995
plastic bottle,21.330742053645277,44.86094174642562,Hybrid,365,0.21333333333333335,6.24,9.476209516193512
polypropylene bag,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,26.055662188099806
polypropylene bag,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,46.51483368294875
polypropylene bag,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,38.97783374307929
hermetic metal silo,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,48.91665000999401
hermetic metal silo,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,31.45970805838832
hermetic metal silo,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,24.30196070593409
grainpro hermetic supergrainbag premium rz with zip,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,35.58116772866189
grainpro hermetic supergrainbag premium rz with zip,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,35.86606696651674
grainpro hermetic supergrainbag premium rz with zip,25.181182795698927,58.597388632872516,Native,181,0.03332400293232037,10.263975460272475,27.262364258144498
silage plastic bag,32.60639784946237,50.13252688172044,Hybrid,92,0.42570910509371096,10.014653669446082,10.631494804156675
silage plastic bag,32.60639784946237,50.13252688172044,Hybrid,92,0.42570910509371096,10.014653669446082,10.595761695321878
silage plastic bag,32.60639784946237,50.13252688172044,Hybrid,92,0.42570910509371096,10.014653669446082,10.5378924215157
hermetic metal silo,32.60639784946237,50.13252688172044,Hybrid,92,0.42570910509371096,10.014653669446082,10.982428115015978
hermetic metal silo,30.409815668202764,56.05299539170507,Hybrid,180,0.42570910509371096,10.014653669446082,10.019999999999992
hermetic metal silo,30.409815668202764,56.05299539170507,Hybrid,180,0.42570910509371096,10.014653669446082,10.015993602558964
hermetic metal silo,30.409815668202764,56.05299539170507,Hybrid,180,0.42570910509371096,10.014653669446082,11.19552179128349
plastic bottle,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,15.133785942492006
plastic bottle,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,9.39424230307877
plastic bottle,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,13.514594162335055
grainpro hermetic supergrainbag farm,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,9.304834198961249
grainpro hermetic supergrainbag farm,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,13.95441823270691
grainpro hermetic supergrainbag farm,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,13.019169329073495
polypropylene bag with standard lime,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,20.343725019984007
polypropylene bag with standard lime,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,38.53833865814697
polypropylene bag with standard lime,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,21.437125748503004
hermetic metal silo,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,26.200638213003586
hermetic metal silo,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,11.237999999999994
hermetic metal silo,27.329166666666666,59.06155913978495,Hybrid,91,0.10000000000000002,3.2066666666666577,15.315999999999994
plastic bottle,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,15.7
plastic bottle,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,12.35999999999999
plastic bottle,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,10.759999999999996
grainpro hermetic supergrainbag farm,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,11.960000000000012
grainpro hermetic supergrainbag farm,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,11.39088729016786
grainpro hermetic supergrainbag farm,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,8.311350919264589
polypropylene bag with standard lime,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,35.02
polypropylene bag with standard lime,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,31.980000000000004
polypropylene bag with standard lime,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,57.04
hermetic metal silo,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,11.960000000000012
hermetic metal silo,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,10.037999999999991
hermetic metal silo,27.009447004608294,61.50460829493088,Hybrid,180,0.10000000000000002,3.2066666666666577,14.31999999999999
polypropylene bag with aluminum phosphide,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,22.26437699680511
polypropylene bag with aluminum phosphide,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,21.81999999999999
polypropylene bag with aluminum phosphide,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,19.932162809257775
grainpro hermetic supergrainbag farm,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,20.203836930455648
hermetic metal silo,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,18.715083798882684
hermetic metal silo,21.528091397849465,55.97849462365591,Native,91,0.05333333333333334,18.4,22.672792648821417
polypropylene bag with aluminum phosphide,20.7263133640553,60.440092165898626,Native,180,0.05333333333333334,18.4,20.46771936837898
polypropylene bag with aluminum phosphide,20.7263133640553,60.440092165898626,Native,180,0.05333333333333334,18.4,19.372251099560167
polypropylene bag,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,78.0
polypropylene bag,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,71.6566866267465
polypropylene bag,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,67.4
polypropylene bag with micronized lime,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,34.0
polypropylene bag with micronized lime,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,15.200000000000003
polypropylene bag with micronized lime,33.86228878648233,44.513210445468516,Native,203,0.1729983217708063,13.508200570449814,42.8
polypropylene bag,19.57157894736842,43.1578947368421,Native,94,6.066666666666667,3.9999999999999956,6.599999999999994
polypropylene bag,19.74126984126984,43.111111111111114,Native,62,0.4000000000000001,1.5999999999999999,2.0
polypropylene bag,23.53030303030303,26.515151515151516,Hybrid,65,5.9708737864077674,5.9708737864077674,6.0
polypropylene bag with aluminum phosphide,31.472440944881885,14.094488188976378,Native,126,1.3333333333333333,1.3333333333333333,8.0
polypropylene bag with aluminum phosphide,32.192045454545465,11.034090909090908,Hybrid,87,5.666666666666667,5.666666666666666,6.099999999999994
polypropylene bag with aluminum phosphide,25.56311111111111,47.18666666666667,Native,224,0.0,0.6666666666666714,0.7000000000000028
grainpro hermetic supergrainbag premium rz with zip,24.4554794520548,44.3013698630137,Native,145,0.0,2.1333333333333258,4.640000000000001
polypropylene bag,24.4554794520548,44.3013698630137,Native,145,0.0,2.1333333333333258,8.319999999999993
hermetic metal silo,24.4554794520548,44.3013698630137,Native,145,0.0,2.1333333333333258,6.999999999999986
