tmax (°c),hrmin (%),storage time (days),grain impurities (%),initial total damage (%),final total damage  (%),storage_grainpro hermetic supergrainbag farm,storage_grainpro hermetic supergrainbag premium rz with zip,storage_hermetic metal silo,storage_plastic barrel,storage_plastic bottle,storage_polypropylene bag,storage_polypropylene bag with aluminum phosphide,storage_polypropylene bag with deodorized malathion,storage_polypropylene bag with micronized lime,storage_polypropylene bag with standard lime,storage_silage plastic bag,variety_Hybrid,variety_Native
23.08486504279131,30.877057274522713,182,0.34664200246642,9.682637069626372,9.739026097390251,False,False,False,False,False,False,False,False,True,False,False,True,False
21.21481153255347,39.311632990665245,365,0.34664200246642,9.682637069626372,10.288971102889704,False,False,False,False,False,True,False,False,False,False,False,True,False
21.21481153255347,39.311632990665245,365,0.34664200246642,9.682637069626372,12.266320103968807,False,False,False,False,False,True,False,False,False,False,False,True,False
21.21481153255347,39.311632990665245,365,0.34664200246642,9.682637069626372,9.817054883534936,False,False,False,False,False,True,False,False,False,False,False,True,False
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,29.0,False,False,True,False,False,False,False,False,False,False,False,False,True
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,20.499999999999993,False,False,True,False,False,False,False,False,False,False,False,False,True
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,33.49999999999999,False,False,True,False,False,False,False,False,False,False,False,False,True
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,27.000000000000007,True,False,False,False,False,False,False,False,False,False,False,False,True
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,24.999999999999996,True,False,False,False,False,False,False,False,False,False,False,False,True
24.841290322580644,59.357603686635954,185,0.22,11.062333333333326,21.79999999999999,True,False,False,False,False,False,False,False,False,False,False,False,True
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,14.32835820895523,False,False,False,False,False,False,True,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,14.356929212362907,False,False,False,False,False,False,True,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,9.86499517839922,False,False,False,False,False,False,False,False,True,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,6.63255813953488,False,False,False,False,False,False,False,False,True,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,7.310215557638248,True,False,False,False,False,False,False,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,9.802631578947366,True,False,False,False,False,False,False,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,5.454545454545445,True,False,False,False,False,False,False,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,4.586241276171492,False,False,True,False,False,False,False,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,15.029940119760475,False,False,True,False,False,False,False,False,False,False,False,True,False
31.614354838709676,56.090860215053766,30,0.07998667998667999,4.084948384948399,13.736372646184336,False,False,True,False,False,False,False,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,29.131736526946113,False,False,False,False,False,False,True,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,68.94211576846307,False,False,False,False,False,False,True,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,61.599999999999994,False,False,False,False,False,False,True,False,False,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,45.81000000000001,False,False,False,False,False,False,False,False,True,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,16.37999999999999,False,False,False,False,False,False,False,False,True,False,False,True,False
30.78236559139785,59.41935483870967,121,0.07998667998667999,4.084948384948399,23.010000000000012,False,False,False,False,False,False,False,False,True,False,False,True,False
